Area,Safety_index,Safety_index_code,Safety_index_code_val,count,Chain Snatching,Petty Robbery,Taking pictures without permission,Sexual Invites,Catcalls/Whistles,Commenting,Ogling/Lewd Facial Expressions/Staring,Touching /Groping,Others,Stalking,Poor / No Street Lighting,Indecent exposure,Indecent Exposure/Masturbation in public,Rape / Sexual Assault,North East India Report,Human Trafficking,Online Harassment,Quarter 3 : 12 Noon to 6 PM,Quarter 4 : 6 PM to 12 Midnight,Quarter 1 : 12 Midnight to 6 AM,Quarter 2 : 6 AM to 12 Noon
Badarpur,0.142401304,Green,2,18,0,0,0,2,3,9,2,2,0,0,0,0,0,0,0,0,0,4,4,8,2
Bahadur Shah Zafar Marg,0.016443476,Green,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Barakhamba,0.297316625,Green,2,39,0,0,2,0,18,10,4,4,1,0,0,0,0,0,0,0,0,6,2,14,17
Barwala,0.009852217,Green,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bawana,0.102870367,Green,2,7,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0
Begumpur,0.004926108,Green,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ber Sarai,0.015461997,Green,2,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Bhalswa,0.070765027,Green,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
Bijwasan,0.060481664,Green,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BK Dutt Colony,0.01183432,Green,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Budh Vihar,0.008713987,Green,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Central Secretariat,0.280478017,Green,2,27,0,0,0,0,8,2,2,10,0,5,0,0,0,0,0,0,0,8,11,5,3
Chanakyapuri,0.311002635,Green,2,19,2,1,0,0,4,6,1,2,1,0,0,2,0,0,0,0,0,5,4,9,1
Chandni Chowk,0.675883785,Yellow,1,73,3,1,0,0,16,17,5,22,6,1,0,0,0,2,0,0,0,8,20,39,6
Chawri Bazaar,0.061016619,Green,2,5,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,3,1
Chhatarpur,0.104430323,Green,2,13,0,0,0,0,2,5,2,1,2,0,0,0,0,1,0,0,0,5,2,6,0
Chirag Dilli,0.369509442,Green,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
Chittaranjan Park,0.016443476,Green,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Civil Lines,0.341863524,Green,2,15,1,0,0,0,0,4,2,0,0,6,0,1,1,0,0,0,0,3,5,3,4
Connaught Place,3.399385806,Red,0,296,6,1,15,2,52,83,34,73,15,6,0,4,2,3,0,0,0,60,87,117,32
Dakshinpuri,1.95572112,Red,0,159,1,0,6,4,8,20,69,13,8,24,0,1,1,4,0,0,0,49,49,37,24
Dallupura,0.007575758,Green,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Dariya Ganj,0.046836817,Green,2,6,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,1,1,3,1
Defence Colony,0.007575758,Green,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
